Task,Description,Setting
Water the houseplant_218_5,GO TO BATHROOM AND TURN ON THE SHOWER HEAD,
Water the houseplant_204_5,Locate the watering can. Use the watering can to water the houseplant.,
Water the houseplant_203_5,Find the Houseplant on the EndTable and and water it with the WateringCan,
Watch television_219_5,Sit in front of the TV. Take the remote and select the required channel and watch it.,
Wash dirty cloths_426_4,Bring the dirty cloths to the sink and rinse it with the faucet,
Wash all the utensils_17_4,Bring all utensil to the sink and on the faucet,
Turn on all the floor lamp_213_4,Switch on the light switch,
Make tomato soup_1_7,"Find the tomato, slice them and boil it in a pot of water",
Make lettuce soup_5_5,"ake the lettuce leaf and wash it in sink. Then take the bowl add some water. Then place it to the stove on make its boil over high heat. Add spices.over medium heat until steaming, about 2 minutes.",
Water the houseplant_204_5,"USE CUTTED LETTUCE PUT INTO POT AND BOIL IT
",
Make coffee_9_1,On the coffeemachine to dispense coffee,
Make a breakfast_5_4,"Make a bread with an fry egg on it, and also serve with a mug of coffee",
Light up one candle with another_230_5,find the lighten candle from the living room and light the other candle.,
Keep valuable items in safe_309_5,Locate safe. Open safe door. Put cellphone in safe. Put creditcard in safe. Put laptop in safe. Close safe door. Lock safe door.,
Keep the laptop_217_1,Close the laptop and keep it inside the cabinet,
Keep the laptop2_213_1,Close the laptop and put it on the desk,
Keep the laptop3_209_1,Close the laptop and leave it,
Keep kitchen utensils inside drawer_20_5,"Find butterknife in room. Open drawer and place inside, leaving drawer open. Find fork in room. Place inside drawer. Find knife in room. Place inside drawer. Find spatula in room. Place inside drawer. Find spoon in room. Place inside drawer. Close drawer.",
Keep box inside safe_219_5,pick the box and put it inside the safe. Check for if it fits.,
Hide the egg_5_1,Hide the egg inside the drawer,
Hide the egg2_3_1,Hide the egg inside the cup,
Hide the egg3_2_1,Hide the egg inside a bowl,
Hide the egg4_13_1,"Hide the egg inside the cup, and hide the cup inside the fridge",
Hide the egg5_12_1,Hide the egg but covering it with the cup,
Find the egg in the room_10_4,Find the egg in the fridge,
Fill up the bathtub with water_413_5,Turn on the bathtub faucet. Fill the bathtub with water. Turn off the bathtub faucet.,
Break shower glass_403_5,Find the toilet plunger and use the hard end to break the shower glass.,
Boil water with a kettle_7_5,Fill the kettle with water. Place on the stove and turn the stoveknob.,
Boil water with a kettle2_5_5,take the soap bottle or spray bottle and use it to hit the shower glass until it breaks,
